record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_quality,2026-07-03 09:11:03,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 09:33:00,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 09:54:43,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 09:57:39,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 10:19:10,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 10:27:19,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 10:40:32,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 10:42:06,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-03 11:58:14,SUCCESS,Bluey,Bluey,Bluey,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey"" raw_query=""Bluey"" layer_series_title=""Bluey""",
tmdb_quality,2026-07-03 19:06:16,SUCCESS,Bluey,Bluey,Bluey,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey"" raw_query=""Bluey"" layer_series_title=""Bluey""",
tmdb_quality,2026-07-03 20:12:18,SUCCESS,Ernest Goes to Camp,Ernest Goes to Camp,Ernest Goes to Camp,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Ernest Goes To Camp (1987)"" raw_query=""Ernest Goes To Camp (1987)"" layer_series_title=""Ernest Goes To Camp (1987)""",
tmdb_quality,2026-07-03 20:55:10,SUCCESS,Wall Engravings,Wall Engravings,Wall Engravings,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""WALL•E"" raw_query=""WALL•E"" layer_series_title=""WALL•E""",
tmdb_quality,2026-07-03 21:16:48,SUCCESS,WALL·E,WALL·E,WALL·E,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""WALL•E"" raw_query=""WALL•E"" layer_series_title=""WALL•E""",
tmdb_quality,2026-07-03 21:27:13,SUCCESS,WALL·E,WALL·E,WALL·E,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""WALL•E"" raw_query=""WALL•E"" layer_series_title=""WALL•E""",
tmdb_quality,2026-07-03 23:43:11,SUCCESS,Anaconda,Anaconda,Anaconda,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Anaconda (2025)"" raw_query=""Anaconda (2025)"" layer_series_title=""Anaconda (2025)""",
tmdb_quality,2026-07-04 00:44:36,SUCCESS,Will Ferrell_ Larger than Life,Will Ferrell: Larger than Life,Will Ferrell_ Larger than Life,"app_name=""Peacock"" app_id=""com.peacocktv.peacock"" streaming_service_label=""Peacock"" streaming_service_badge=""App logos/AppLogo_Peacock.png""","raw_title=""Will Ferrell: May 16, 2026"" raw_query=""Will Ferrell"" layer_series_title=""Will Ferrell: May 16, 2026""",
tmdb_quality,2026-07-04 00:44:48,FAILURE,Will Ferrell_ Larger than Life,Will Ferrell: Larger than Life,Will Ferrell_ Larger than Life,"app_name=""Peacock"" app_id=""com.peacocktv.peacock"" streaming_service_label=""Peacock"" streaming_service_badge=""App logos/AppLogo_Peacock.png""","raw_title=""Will Ferrell: May 16, 2026"" raw_query=""Will Ferrell"" layer_series_title=""Will Ferrell: May 16, 2026""",
tmdb_quality,2026-07-04 02:21:13,SUCCESS,Taylor Swift _ The Eras Tour _ The Final Show,Taylor Swift | The Eras Tour | The Final Show,Taylor Swift _ The Eras Tour _ The Final Show,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Taylor Swift | The Eras Tour | The Final Show"" raw_query=""Taylor Swift | The Eras Tour | The Final Show"" layer_series_title=""Taylor Swift | The Eras Tour | The Final Show""",
tmdb_quality,2026-07-04 09:59:02,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
tmdb_quality,2026-07-04 11:54:31,FAILURE,,,user_flagged,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Snoopy in Space: The Search for Life"" raw_query=""Snoopy in Space"" layer_series_title=""Snoopy in Space: The Search for Life""",
tmdb_retry,2026-07-04 11:54:32,,,,,,,"{""event"": ""tmdb_error_flag_retry"", ""rule_index"": 0, ""rule_id"": ""tv+raw_title"", ""prefer"": ""tv"", ""query_source"": ""raw_title"", ""query_sent"": ""Snoopy in Space"", ""primary_query"": ""Snoopy in Space: The Search for Life"", ""raw_title_query"": ""Snoopy in Space"", ""alternate_available"": false, ""alternate_query"": null, ""t"": ""2026-07-04T15:54:32.072190+00:00""}"
tmdb_quality,2026-07-04 11:54:34,FAILURE,,,user_flagged,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Snoopy in Space: The Search for Life"" raw_query=""Snoopy in Space"" layer_series_title=""Snoopy in Space: The Search for Life""",
